0,6,0,0,0,0,0,8,0,0,0,f,e,0,0,g
f,b,0,0,0,g,e,0,0,0,c,0,0,6,0,0
d,0,9,c,0,0,0,0,3,g,e,0,f,b,a,0
2,0,g,0,b,0,f,a,1,0,0,0,0,0,0,0
0,f,b,a,0,0,g,2,d,8,9,c,0,0,0,0
c,d,0,0,4,1,5,6,2,3,0,0,0,0,b,a
5,0,6,1,c,0,9,0,f,b,a,7,g,0,0,3
0,2,0,0,0,a,0,b,6,0,5,0,0,d,0,9
a,7,f,b,g,0,0,0,c,d,0,0,0,0,0,6
9,0,0,0,0,0,1,0,0,2,0,g,a,0,0,b
1,0,4,6,9,d,0,0,7,0,b,0,3,g,0,0
g,e,0,0,7,0,a,f,4,6,1,0,0,0,d,8
b,a,0,f,0,0,0,g,9,c,d,0,0,1,5,4
0,0,c,0,1,4,6,0,g,0,0,0,b,a,0,0
0,0,5,0,8,c,d,0,a,0,0,b,2,0,0,e
3,0,0,0,a,0,0,7,0,0,6,0,0,0,c,0
